Developer,User_Score,Global_Sales,User_Count
Good Science Studio,6.3,21.81,1.06
"Retro Studios, Entertainment Analysis & Development Division",8.2,12.66,6.32
"Infinity Ward, Sledgehammer Games",3.033333333333333,9.923333333333334,65.37
Polyphony Digital,8.128571428571428,9.314285714285715,4.07
Rockstar North,8.285714285714286,8.53357142857143,19.185714285714287
DMA Design,8.25,8.26,3.655
Nintendo,8.019117647058822,7.792647058823529,3.6380882352941177
Bungie Software,8.066666666666666,5.203333333333333,8.45
"Neversoft Entertainment, BudCat",8.2,4.98,0.46
343 Industries,7.175,4.955,18.63
"Naughty Dog, SCE/WWS",8.1,4.92,23.06
Infinity Ward,5.51875,4.84875,15.061875
"Bungie Software, Bungie",6.016666666666667,4.835,21.383333333333336
Game Freak,8.6,4.726666666666667,1.45
Bethesda Game Studios,7.2666666666666675,4.622222222222223,38.54777777777778
