year,number_of_releases,median_positive_rating
1997,1,90.95607235142118
1998,1,96.18783573037601
1999,2,89.38915309507885
2000,2,88.7583240603887
2001,4,88.37688438402401
2002,1,90.56109071840586
2003,3,89.56476140534872
2004,6,92.51167295616847
2005,6,79.96362482471551
2006,48,81.03772541210311
2007,93,84.7457627118644
2008,145,80.51282051282051
2009,305,78.57142857142857
2010,238,76.04347826086956
2011,239,76.52329749103941
2012,320,81.55625627860252
2013,418,79.08554888655044
2014,1555,73.0072463768116
2015,2597,73.68421052631578
2016,4361,75.0
2017,6357,75.0
2018,8160,76.92307692307693
2019,2213,83.11688311688312
